RecordedDate,seconds,n_turnsOK,whichva,VA_Google,VA_Amazon,VA_Apple,VA_Microsoft,VA_Samsung,VA_Other,VA_didnotuseVA,QID1_6_TEXT,vamost,devicemost,partweek,ndays,times_per_day,whenuse,when_morning,when_lunch,when_afternoon,when_evening,when_night,check_n_turns,last_service_when,recall_last,last_service_which,last_service_howlong,socpres1,socpres2,socpres3,socpres4,socpres5,socpres6,socpres7,socpres8,socpres9,socpres10,socpres11,socpres12,epsi1,epsi2,epsi3,epsi4,epsi5,epsi6,comp1,comp2,comp3,warm1,warm2,warm3,QID34,personalized1,personalized2,personalized3,privrisk1,privrisk2,privrisk3,privrisk4,privrisk5,sat1,sat2,sat3,gender,age,country,edu,QID45_6_TEXT,employ,marit,income1,income2
2020-05-06T08:02:32Z,230,1,12,1,1,0,0,0,0,0,NA,Amazon,Smart Speaker,Weekend,4,2,5,0,0,0,0,1,1,3 days ago,5,play music,40,5,5,5,5,4,4,4,4,4,4,5,3,3,5,4,5,4,5,5,5,4,4,5,4,3,9,8,9,9,9,8,9,10,5,4,3,2,30,1,4,NA,1,2,3,NA
2020-05-06T08:02:39Z,304,1,1,1,0,0,0,0,0,0,NA,Google,Smart Speaker,Weekdays,7,5,345,0,0,1,1,1,1,2 days ago,2,check weather/news,1,5,3,3,1,3,1,NA,1,3,NA,NA,4,5,5,5,5,5,5,4,4,5,3,4,4,3,7,8,8,6,8,6,6,6,4,4,4,1,36,1,2,NA,1,2,2,NA
2020-05-06T08:02:39Z,211,1,12,1,1,0,0,0,0,0,NA,Google,Smart Speaker,Weekdays,3,8,2,0,1,0,0,0,1,Yesterday,3,set timer,46,3,5,4,5,4,5,5,4,4,5,5,4,5,4,5,4,4,5,4,2,3,3,4,5,3,9,8,8,10,10,9,10,9,5,4,3,1,30,1,4,NA,1,2,3,NA
2020-05-06T08:02:42Z,151,1,12,1,1,0,0,0,0,0,NA,Google,Smart Speaker,All days,7,15,145,1,0,0,1,1,1,> 7 days ago,5,add items to a shopping list,5,4,5,1,1,1,1,1,1,5,1,4,4,4,4,5,5,5,4,5,5,4,4,4,4,3,9,8,8,6,7,6,6,6,4,5,4,1,31,1,4,NA,1,1,3,NA
2020-05-06T08:02:44Z,178,1,2,0,1,0,0,0,0,0,NA,Amazon,Smart Speaker,All days,5,3,145,1,0,0,1,1,1,5 days ago,9,check weather/news,10,1,1,1,1,1,1,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,9,9,9,6,6,6,6,6,5,5,5,2,30,1,2,NA,1,1,3,NA
2020-05-06T08:02:44Z,247,1,2,0,1,0,0,0,0,0,NA,Amazon,Smart Speaker,All days,1,0,1,1,0,0,0,0,1,2 days ago,10,check traffic /navigation,1,5,5,1,1,1,1,NA,1,4,1,4,4,4,5,5,4,4,5,4,4,4,3,3,3,3,9,9,9,8,8,7,7,8,4,4,4,1,29,1,3,NA,1,3,3,NA
2020-05-06T08:02:45Z,252,1,2,0,1,0,0,0,0,0,NA,Amazon,Smartphone,Weekdays,1,5,1,1,0,0,0,0,1,Today,10,play music,15,4,5,4,4,5,4,4,5,5,5,4,5,5,5,4,5,4,4,5,5,4,2,5,4,3,8,9,8,10,10,10,9,9,4,5,4,1,28,1,3,NA,1,2,3,NA
2020-05-06T08:02:48Z,171,1,1,1,0,0,0,0,0,0,NA,Google,Other,Weekdays,2,4,2,0,1,0,0,0,1,Yesterday,2,play music,10,4,3,4,5,3,5,5,3,5,4,4,4,4,5,3,5,3,4,5,4,5,1,4,5,3,8,7,8,10,8,9,10,8,4,5,3,1,30,1,3,NA,1,2,2,NA
2020-05-06T08:02:51Z,302,1,4,0,0,0,1,0,0,0,NA,Microsoft,Other,All days,7,2,14,1,0,0,1,0,1,4 days ago,3,check weather/news,3,1,1,3,3,5,3,1,3,1,3,3,3,3,3,5,3,5,5,3,3,3,3,3,3,3,7,7,1,10,10,10,10,10,3,3,3,1,54,1,6,AA,1,1,3,NA
2020-05-06T08:02:51Z,301,1,1234,1,1,1,1,0,0,0,NA,Apple,Smartphone,All days,6,3,1234,1,1,1,1,0,1,6 days ago,9,buy/order something,2,3,2,2,2,2,2,2,2,3,2,3,4,3,3,3,3,3,4,4,4,4,3,3,3,3,8,8,8,8,8,8,8,8,4,4,4,2,37,1,3,NA,1,1,2,NA
