"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"check_n_turns","numeric",358,0,1,1,1,1,NA,0,NA,1,1,0,NA,NA,NA,NA,NA,NA
"last_service_when","factor",358,0,10,NA,NA,83,"Yesterday",NA,0.847273805436784,NA,NA,NA,NA,NA,NA,NA,NA,NA
"recall_last","numeric",358,0,5,4.97206703910615,4,4,NA,2.73974823026516,NA,2,10,8,0.743863563833894,2.88494719547178,-0.993776832984576,-1.93236699569743,NA,NA
"last_service_which","factor",358,0,10,NA,NA,118,"play music",NA,0.81509628288755,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last_service_howlong","numeric",349,0.0251396648044693,28,15.5974212034384,5,5,NA,18.6372423838809,NA,0.5,120,119.5,2.04725202825214,7.84031379739888,5.79555812110473,11.128674528526,NA,NA
"socpres1","numeric",358,0,5,3.68715083798883,4,4,NA,1.08330970953094,NA,1,5,4,-0.874076286276669,-3.38995489673608,0.274905767278619,0.534545396898307,NA,NA
"socpres2","numeric",358,0,5,3.53631284916201,4,4,NA,1.1751725935114,NA,1,5,4,-0.634194196444648,-2.45961337182261,-0.360850177105295,-0.701661529516322,NA,NA
"socpres3","numeric",358,0,5,3.08938547486034,3,3,NA,1.38937511375985,NA,1,5,4,-0.228143151029216,-0.884814065008839,-1.25094969691424,-2.43243133404007,NA,NA
"socpres4","numeric",358,0,5,3,3,3,NA,1.45135887258487,NA,1,5,4,-0.0986770805745843,-0.382702125365235,-1.40854342064333,-2.73886724636514,NA,NA
"socpres5","numeric",358,0,5,3.06703910614525,3,3,NA,1.42643221206242,NA,1,5,4,-0.0887326747871905,-0.344134453843443,-1.3151806163472,-2.55732628499479,NA,NA
"socpres6","numeric",358,0,5,3.00558659217877,3,3,NA,1.41618181864518,NA,1,5,4,-0.080644196856898,-0.312764680063472,-1.30158506100371,-2.53089016617822,NA,NA
"socpres7","numeric",355,0.00837988826815642,6,3.50140845070423,4,4,NA,1.24049982610738,NA,1,5,4,-0.667251809253847,-2.57704615384224,-0.501066255706371,-0.970272112828356,NA,NA
"socpres8","numeric",355,0.00837988826815642,6,3.0112676056338,3,3,NA,1.41815800158179,NA,1,5,4,-0.120557601808248,-0.465615079266417,-1.33905928325493,-2.59297421283057,NA,NA
"socpres9","numeric",355,0.00837988826815642,6,3.65915492957746,4,4,NA,1.14210350397069,NA,1,5,4,-0.852352322679767,-3.2919375330532,0.128639363004667,0.24909916625592,NA,NA
"socpres10","numeric",356,0.00558659217877095,6,2.88483146067416,3,3,NA,1.45183525419288,NA,1,5,4,0.018429798509897,0.0712785332222786,-1.41015085745511,-2.73442751968541,NA,NA
"socpres11","numeric",357,0.00279329608938547,6,3.8515406162465,4,4,NA,1.04280797011294,NA,1,5,4,-0.976716407084448,-3.78277661417307,0.668730124353852,1.29853155593333,NA,NA
